"MDR","Region","Type","Category","Month","N_Merchant","N_EDC","A_Merchant","A_EDC","Tranasaction","Value","Inactive_Terminal","Active_Terminal"
146155.081619509,"Region3","holding","Retail Store","November",1,3,0,0,18837,1414085,105,1265
247794.881020673,"Region3","holding","Kirana Store","January",0,0,0,3,11446,1056914,146,1054
111555.972672068,"Region3","holding","Kirana Store","February",1,8,0,0,17685,1585332,139,1117
364777.131332085,"Region3","holding","Kirana Store","March",2,14,1,0,19730,1890578,197,1850
237948.528677225,"Region3","holding","Kirana Store","April",1,7,0,2,10141,1565771,197,1241
322095.395135693,"Region3","holding","Kirana Store","May",1,4,0,3,16333,1038200,143,1957
196988.510340452,"Region3","holding","Kirana Store","June",0,0,0,4,19549,1609924,175,1816
247132.215509191,"Region3","holding","Kirana Store","July",1,5,0,0,18483,1306782,195,1046
397575.663588941,"Region3","holding","Kirana Store","August",1,4,0,0,14060,1570283,177,1581
198292.064061388,"Region3","holding","Kirana Store","September",2,13,0,2,18168,1024446,162,1292
232111.113844439,"Region3","holding","Kirana Store","October",0,0,0,0,11682,1451920,190,1879
157631.522323936,"Region3","holding","Kirana Store","November",0,0,0,5,16456,1930913,136,1258
158000.74187573,"Region3","holding","Hotels","January",1,4,0,4,12500,1127857,103,1521
240289.657865651,"Region3","holding","Hotels","February",1,5,0,2,17754,1969736,103,1947
376535.108010285,"Region3","holding","Hotels","March",2,8,0,1,10660,1283885,104,1807
250299.359741621,"Region3","holding","Hotels","April",1,5,0,2,11239,1680119,164,1449
234746.362618171,"Region3","holding","Hotels","May",0,0,1,0,18770,1355189,172,1614
257878.557732329,"Region3","holding","Hotels","June",2,14,1,2,11085,1388563,135,1308
378345.347009599,"Region3","holding","Hotels","July",1,8,0,0,15238,1784020,183,1194
160671.49261944,"Region3","holding","Hotels","August",2,13,0,0,13123,1492307,146,1317
105547.087080777,"Region3","holding","Hotels","September",1,5,1,0,18011,1354258,160,1321
103910.175850615,"Region3","holding","Hotels","October",2,13,1,2,11666,1833655,115,1684
275509.395822883,"Region3","holding","Hotels","November",2,13,0,2,17520,1016038,174,1423
342806.081334129,"Region3","holding","Restaurants","January",1,6,0,3,13617,1974795,195,1577
186088.439961895,"Region3","holding","Restaurants","February",0,0,0,1,12829,1784588,144,1141
314049.584069289,"Region3","holding","Restaurants","March",0,0,1,0,18672,1879775,131,1273
225403.53606455,"Region3","holding","Restaurants","April",2,7,0,5,19842,1639182,161,1173
171308.27344954,"Region3","holding","Restaurants","May",1,7,0,2,15787,1992934,169,1151
253120.326204225,"Region3","holding","Restaurants","June",1,4,1,0,11374,1536910,186,1077
118216.631282121,"Region3","holding","Restaurants","July",0,0,0,0,10522,1585464,145,1650
119656.95915278,"Region3","holding","Restaurants","August",1,7,1,4,10410,1754920,177,1836
198415.534943342,"Region3","holding","Restaurants","September",0,0,0,1,11902,1191161,189,1151
118595.941667445,"Region3","holding","Restaurants","October",0,0,0,2,10044,1880235,176,1705
346291.357837617,"Region3","holding","Restaurants","November",2,8,0,0,18220,1890357,135,1987
310603.502602316,"Region3","holding","Airline","January",2,11,0,0,10470,1218559,161,1950
104151.708283462,"Region3","holding","Airline","February",2,9,0,3,18321,1168418,113,1629
261719.258571975,"Region3","holding","Airline","March",1,7,0,1,17044,1280922,116,1579
355172.717105597,"Region3","holding","Airline","April",2,10,1,0,17252,1516104,189,1097
100364.441447891,"Region3","holding","Airline","May",1,5,0,5,19059,1629002,106,1319
109933.565557003,"Region3","holding","Airline","June",0,0,0,4,19328,1757398,176,1174
204195.576137863,"Region3","holding","Airline","July",2,15,0,4,16208,1540362,166,1573
340753.367706202,"Region3","holding","Airline","August",1,5,0,0,16399,1763732,140,1944
159572.056401521,"Region3","holding","Airline","September",1,3,1,0,13877,1319792,181,1707
166286.200494505,"Region3","holding","Airline","October",1,4,0,0,19650,1232071,160,1557
121013.198723085,"Region3","holding","Airline","November",1,3,0,0,17277,1645687,190,1257
394411.917449906,"Region3","holding","Hardware Store","January",1,3,0,0,12137,1463203,155,1343
309651.326225139,"Region3","holding","Hardware Store","February",1,5,0,0,12118,1693823,146,1870
182370.493561029,"Region3","holding","Hardware Store","March",1,6,0,5,11468,1417438,106,1166
131618.735939264,"Region3","holding","Hardware Store","April",1,3,0,0,10544,1879082,155,1925
318011.705647223,"Region3","holding","Hardware Store","May",1,8,0,4,14785,1993949,183,1700
205122.208665125,"Region3","holding","Hardware Store","June",2,12,0,1,12623,1392862,189,1071
155730.058043264,"Region3","holding","Hardware Store","July",0,0,0,1,12144,1995712,186,1045
299504.852853715,"Region3","holding","Hardware Store","August",1,3,1,4,15798,1303083,122,1588
260157.294059172,"Region3","holding","Hardware Store","September",1,7,0,1,16284,1225173,137,1455
177195.086120628,"Region3","holding","Hardware Store","October",0,0,0,0,14902,1401168,170,1145
196959.182620049,"Region3","holding","Hardware Store","November",1,5,0,0,19293,1806107,111,1585
232360.966154374,"Region3","holding","Computer Store","January",2,9,0,0,14377,1821209,161,1444
324707.991536707,"Region3","holding","Computer Store","February",1,6,0,2,14765,1884489,136,1034
174230.60555011,"Region3","holding","Computer Store","March",2,7,0,0,11862,1026492,155,1094
225906.300847419,"Region3","holding","Computer Store","April",1,5,1,0,14159,1517049,139,1764
172869.774093851,"Region3","holding","Computer Store","May",0,0,0,3,10380,1018083,169,1600
236001.472570933,"Region3","holding","Computer Store","June",0,0,1,0,17380,1720435,177,1587
175613.073213026,"Region3","holding","Computer Store","July",2,13,0,0,19413,1658221,139,1161
243115.062685683,"Region3","holding","Computer Store","August",1,7,0,0,15411,1501344,160,1154
272364.768455736,"Region3","holding","Computer Store","September",2,12,0,0,17883,1640246,134,1845
315159.049653448,"Region3","holding","Computer Store","October",0,0,0,0,18439,1581858,163,1751
145954.933087341,"Region3","holding","Computer Store","November",1,6,1,0,16506,1839943,148,1092
136561.42312102,"Region3","holding","Gaming Zone","January",0,0,0,0,11264,1683103,166,1113
257415.286730975,"Region3","holding","Gaming Zone","February",2,13,0,0,17020,1106172,100,1042
225988.87279164,"Region3","holding","Gaming Zone","March",2,13,1,0,10670,1096047,100,1760
108670.489792712,"Region3","holding","Gaming Zone","April",0,0,1,0,17682,1436202,135,1420
148799.060843885,"Region3","holding","Gaming Zone","May",2,7,1,4,11449,1627516,162,1327
285775.091568939,"Region3","holding","Gaming Zone","June",1,6,0,0,12172,1800730,124,1762
294043.410941958,"Region3","holding","Gaming Zone","July",0,0,0,0,10230,1366902,174,1396
156178.069161251,"Region3","holding","Gaming Zone","August",1,6,1,0,14764,1869520,135,1044
173449.046933092,"Region3","holding","Gaming Zone","September",2,15,0,1,17910,1299438,153,1993
195747.194834985,"Region3","holding","Gaming Zone","October",1,7,1,4,19447,1585600,184,1066
156377.109466121,"Region3","holding","Gaming Zone","November",1,7,0,0,18111,1598186,186,1825
374054.18579001,"Region3","holding","Super MArket","January",1,6,0,3,11105,1999970,103,1419
214966.897410341,"Region3","holding","Super MArket","February",0,0,1,0,19806,1419118,135,1325
188166.711269878,"Region3","holding","Super MArket","March",1,4,0,0,15716,1642555,106,1269
184559.263149276,"Region3","holding","Super MArket","April",2,13,0,0,15827,1694218,114,1035
257957.71132689,"Region3","holding","Super MArket","May",2,12,0,0,13483,1099543,192,1892
264112.298144028,"Region3","holding","Super MArket","June",1,7,0,4,18945,1059427,189,1410
327102.277916856,"Region3","holding","Super MArket","July",0,0,0,2,17603,1784367,158,1370
168453.466380015,"Region3","holding","Super MArket","August",0,0,0,0,11741,1775902,147,1816
104362.243250944,"Region3","holding","Super MArket","September",0,0,1,0,17081,1647210,142,1400
281805.006065406,"Region3","holding","Super MArket","October",1,6,0,0,11933,1531102,187,1484
384090.564539656,"Region3","holding","Super MArket","November",1,5,0,1,10280,1198028,155,1234
382175.456616096,"Region3","holding","Fast Food Centre","January",1,8,0,0,19376,1202684,110,1995
186422.063247301,"Region3","holding","Fast Food Centre","February",1,3,1,5,15199,1209261,121,1590
328177.248965949,"Region3","holding","Fast Food Centre","March",0,0,0,3,16597,1702920,147,1406
253452.343167737,"Region3","holding","Fast Food Centre","April",1,3,0,0,13204,1417705,173,1316
224869.540799409,"Region3","holding","Fast Food Centre","May",1,7,0,1,15025,1938894,123,1022
191201.422689483,"Region3","holding","Fast Food Centre","June",1,8,0,3,14777,1320028,135,1079
290131.789841689,"Region3","holding","Fast Food Centre","July",1,5,0,4,10807,1805209,157,1334
188662.079232745,"Region3","holding","Fast Food Centre","August",1,6,0,0,13465,1513041,122,1350
316814.785520546,"Region3","holding","Fast Food Centre","September",1,8,0,5,12970,1016839,192,1460
320805.68105448,"Region3","holding","Fast Food Centre","October",2,7,1,0,11044,1518627,100,1639
257131.779263727,"Region3","holding","Fast Food Centre","November",2,12,1,0,15261,1937507,169,1314
272495.845495723,"Region4","retail","Retail Store","January",1,5,0,0,18361,1939144,160,1326
150944.316759706,"Region4","retail","Retail Store","February",1,6,1,2,17176,1074907,176,1802
146309.173549525,"Region4","retail","Retail Store","March",1,5,0,0,18723,1229204,141,1010
148818.479618058,"Region4","retail","Retail Store","April",2,9,0,2,12720,1911513,119,1274
209384.673670866,"Region4","retail","Retail Store","May",1,5,0,2,19965,1465472,110,1287
218554.686335847,"Region4","retail","Retail Store","June",1,6,0,0,14410,1416040,166,1144
119399.869069457,"Region4","retail","Retail Store","July",2,12,0,5,13661,1459100,120,1909
285360.49106624,"Region4","retail","Retail Store","August",1,4,0,0,17207,1493351,136,1105
123657.665075734,"Region4","retail","Retail Store","September",0,0,1,0,12145,1234596,162,1812
269468.127097934,"Region4","retail","Retail Store","October",0,0,0,5,16296,1239049,166,1482
157079.84326873,"Region4","retail","Retail Store","November",1,3,0,3,12840,1886860,189,1915
114429.710130207,"Region4","retail","Kirana Store","January",1,3,0,0,13634,1771867,161,1874
204984.038090333,"Region4","retail","Kirana Store","February",1,5,0,0,12810,1732281,142,1737
364595.021144487,"Region4","retail","Kirana Store","March",1,3,0,0,18108,1536065,182,1059
112094.782292843,"Region4","retail","Kirana Store","April",1,4,0,3,10077,1073675,132,1675
155380.568653345,"Region4","retail","Kirana Store","May",2,9,0,2,16090,1889063,188,1659
211622.985126451,"Region4","retail","Kirana Store","June",0,0,0,1,14285,1755339,158,1877
361427.164380439,"Region4","retail","Kirana Store","July",2,11,0,0,12405,1147166,115,1718
124794.460972771,"Region4","retail","Kirana Store","August",1,4,0,3,18664,1670509,167,1459
330908.525362611,"Region4","retail","Kirana Store","September",1,7,0,0,12443,1559073,110,1647
118934.139236808,"Region4","retail","Kirana Store","October",1,6,0,0,14705,1188514,102,1906
287488.272530027,"Region4","retail","Kirana Store","November",1,7,1,3,16647,1575422,171,1212
333773.818751797,"Region4","retail","Hotels","January",0,0,0,2,15998,1336352,143,1187
291083.881701343,"Region4","retail","Hotels","February",2,11,0,2,12152,1046728,142,1802
122020.798898302,"Region4","retail","Hotels","March",0,0,1,0,16713,1643482,129,1564
283241.870882921,"Region4","retail","Hotels","April",0,0,1,4,12467,1446447,111,1326
335344.128217548,"Region4","retail","Hotels","May",1,4,0,0,12996,1395543,114,1637
273294.891347177,"Region4","retail","Hotels","June",0,0,0,5,10854,1914722,120,1555
314532.399154268,"Region4","retail","Hotels","July",1,5,0,0,15198,1524440,137,1686
388719.851453789,"Region4","retail","Hotels","August",0,0,0,0,19158,1452169,192,1288
357639.956008643,"Region4","retail","Hotels","September",1,4,0,0,17681,1506597,173,1207
294116.483116522,"Region4","retail","Hotels","October",1,5,0,1,18953,1578442,168,1264
190662.299166434,"Region4","retail","Hotels","November",1,6,0,5,19293,1496359,155,1669
195055.157179013,"Region4","retail","Restaurants","January",1,6,1,0,12463,1025169,105,1988
241247.195657343,"Region4","retail","Restaurants","February",2,15,1,0,17307,1132530,128,1831
267120.723007247,"Region4","retail","Restaurants","March",0,0,0,5,18448,1220646,183,1851
341143.496893346,"Region4","retail","Restaurants","April",0,0,0,0,17594,1405712,147,1371
192319.893022068,"Region4","retail","Restaurants","May",2,14,0,0,11258,1927634,159,1487
382969.885086641,"Region4","retail","Restaurants","June",2,10,0,1,11565,1251653,109,1107
349593.474110588,"Region4","retail","Restaurants","July",1,7,0,0,10848,1264853,148,1632
309882.591105998,"Region4","retail","Restaurants","August",2,12,1,1,15712,1589733,176,1364
260642.809793353,"Region4","retail","Restaurants","September",2,8,0,5,11798,1950915,132,1296
339380.202768371,"Region4","retail","Restaurants","October",1,8,0,5,13269,1504679,103,1748
359504.45078779,"Region4","retail","Restaurants","November",2,11,0,2,19949,1880555,123,1181
250550.46339985,"Region4","retail","Airline","January",0,0,0,0,12679,1130107,125,1552
308576.886239462,"Region4","retail","Airline","February",2,13,1,0,10338,1540154,155,1096
267320.471652783,"Region4","retail","Airline","March",0,0,1,1,10169,1449598,198,1076
363689.846568741,"Region4","retail","Airline","April",0,0,0,5,14327,1591598,194,1792
211739.382101223,"Region4","retail","Airline","May",1,7,1,4,19325,1175979,190,1187
218555.534235202,"Region4","retail","Airline","June",2,7,0,2,18344,1188917,126,1621
382378.371874802,"Region4","retail","Airline","July",1,8,0,3,14336,1675605,176,1239
283380.742953159,"Region4","retail","Airline","August",1,4,0,3,15426,1258005,143,1552
261829.238710925,"Region4","retail","Airline","September",1,7,0,3,19497,1981066,113,1018
346335.865254514,"Region4","retail","Airline","October",2,11,1,0,13286,1856594,139,1199
348879.919061437,"Region4","retail","Airline","November",0,0,0,4,19245,1787294,158,1864
150313.162733801,"Region4","retail","Hardware Store","January",2,12,0,4,10672,1086762,132,1881
235717.04281494,"Region4","retail","Hardware Store","February",1,4,0,1,16824,1476339,191,1393
139718.379639089,"Region4","retail","Hardware Store","March",2,15,0,4,13280,1832562,197,1825
241428.876412101,"Region4","retail","Hardware Store","April",1,7,0,0,18588,1335409,181,1404
284331.390121952,"Region4","retail","Hardware Store","May",1,4,0,5,10766,1803411,180,1474
262305.961479433,"Region4","retail","Hardware Store","June",2,10,0,0,17239,1784431,102,1909
372636.281466112,"Region4","retail","Hardware Store","July",2,8,0,2,19124,1425671,109,1309
203018.807573244,"Region4","retail","Hardware Store","August",0,0,0,2,10586,1042649,164,1564
254635.95262263,"Region4","retail","Hardware Store","September",1,6,1,5,16939,1582904,145,1584
232289.884472266,"Region4","retail","Hardware Store","October",0,0,0,4,10476,1938810,165,1562
216512.524685822,"Region4","retail","Hardware Store","November",1,3,1,1,14320,1151506,136,1678
241280.738986097,"Region4","retail","Computer Store","January",0,0,0,2,11509,1593893,110,1531
273420.739197172,"Region4","retail","Computer Store","February",1,4,1,2,13624,1732421,107,1207
283675.978169776,"Region4","retail","Computer Store","March",1,4,0,4,12309,1592344,137,1105
275677.152699791,"Region4","retail","Computer Store","April",0,0,0,0,12582,1825888,109,1272
236333.557358012,"Region4","retail","Computer Store","May",0,0,0,4,12357,1689292,174,1387
112175.077642314,"Region4","retail","Computer Store","June",2,12,0,0,16100,1141269,142,1943
119894.772674888,"Region4","retail","Computer Store","July",1,7,0,0,18861,1094466,165,1613
246119.528147392,"Region4","retail","Computer Store","August",1,6,0,1,12555,1575650,103,1244
252747.408277355,"Region4","retail","Computer Store","September",1,6,0,1,15060,1249676,170,1134
210614.784667268,"Region4","retail","Computer Store","October",0,0,1,2,11551,1186708,169,1502
317289.219330996,"Region4","retail","Computer Store","November",2,15,0,3,10249,1193497,185,1112
252053.229184821,"Region4","retail","Gaming Zone","January",1,7,0,0,15990,1172159,111,1420
161667.088512331,"Region4","retail","Gaming Zone","February",1,5,0,0,14603,1249942,131,1730
165789.794572629,"Region4","retail","Gaming Zone","March",1,8,0,4,15575,1739062,149,1469
336911.065783352,"Region4","retail","Gaming Zone","April",0,0,0,0,17408,1259367,111,1111
376977.252005599,"Region4","retail","Gaming Zone","May",1,5,0,0,11614,1958721,113,1757
153938.695718534,"Region4","retail","Gaming Zone","June",1,7,1,1,14523,1044524,188,1861
151089.916005731,"Region4","retail","Gaming Zone","July",1,5,0,0,13668,1534039,150,1460
352633.999078535,"Region4","retail","Gaming Zone","August",1,7,0,0,10141,1732765,164,1280
371918.259910308,"Region4","retail","Gaming Zone","September",2,7,0,0,10313,1156410,138,1397
378048.759582452,"Region4","retail","Gaming Zone","October",1,6,0,1,13994,1295759,149,1622
165274.469018914,"Region4","retail","Gaming Zone","November",0,0,0,0,11587,1540958,156,1860
323836.708627641,"Region4","retail","Super MArket","January",1,5,0,0,17654,1473016,138,1256
246338.913496584,"Region4","retail","Super MArket","February",2,11,0,3,12549,1044277,126,1490
107916.397205554,"Region4","retail","Super MArket","March",2,7,0,0,11605,1034547,110,1791
267364.316759631,"Region4","retail","Super MArket","April",1,5,0,0,15831,1045832,190,1382
132991.431979463,"Region4","retail","Super MArket","May",2,9,0,5,12979,1679266,106,1057
279430.284583941,"Region4","retail","Super MArket","June",2,16,0,0,15869,1752260,170,1308
129538.410156965,"Region4","retail","Super MArket","July",1,3,0,0,16826,1512470,193,1025
239881.787472405,"Region4","retail","Super MArket","August",0,0,0,0,11160,1133746,109,1961
194151.45481471,"Region4","retail","Super MArket","September",0,0,0,1,19829,1081574,143,1294
173270.22573445,"Region4","retail","Super MArket","October",0,0,0,5,16154,1459256,120,1354
373122.702096589,"Region4","retail","Super MArket","November",2,9,0,1,10287,1369492,146,1590
372593.504353426,"Region4","retail","Fast Food Centre","January",2,14,0,3,16933,1178097,141,1794
306207.793555222,"Region4","retail","Fast Food Centre","February",1,3,0,0,12613,1263498,168,1277
154564.559576102,"Region4","retail","Fast Food Centre","March",1,7,0,4,18729,1677036,116,1745
394337.010756135,"Region4","retail","Fast Food Centre","April",1,4,0,4,16842,1930978,102,1648
224959.857133217,"Region4","retail","Fast Food Centre","May",1,7,1,2,18704,1353382,145,1088
386295.610736124,"Region4","retail","Fast Food Centre","June",2,10,1,2,16214,1559464,152,1522
341621.991037391,"Region4","retail","Fast Food Centre","July",2,8,1,5,12328,1839167,135,1788
289444.745494984,"Region4","retail","Fast Food Centre","August",2,6,0,0,13597,1005169,162,1672
328600.106551312,"Region4","retail","Fast Food Centre","September",1,7,0,2,19448,1187395,151,1216
129039.412760176,"Region4","retail","Fast Food Centre","October",2,8,0,5,13378,1328863,152,1047
332298.466959037,"Region4","retail","Fast Food Centre","November",0,0,0,0,17437,1413576,178,1395
347430.854314007,"Region4","holding","Retail Store","January",1,7,0,4,17163,1909284,124,1859
355662.089912221,"Region4","holding","Retail Store","February",2,14,0,2,16245,1249305,100,1423
212466.661329381,"Region4","holding","Retail Store","March",1,7,0,4,12277,1794684,147,1280
319850.342674181,"Region4","holding","Retail Store","April",1,7,0,0,14195,1636295,191,1139
162628.738814965,"Region4","holding","Retail Store","May",2,6,0,1,18722,1396369,141,1174
385490.407608449,"Region4","holding","Retail Store","June",1,5,0,0,10365,1511517,149,1861
393424.056656659,"Region4","holding","Retail Store","July",1,8,0,1,10645,1676453,164,1128
177762.429206632,"Region4","holding","Retail Store","August",1,8,0,4,17089,1510555,112,1763
101039.479416795,"Region4","holding","Retail Store","September",0,0,0,4,16186,1723560,166,1014
366185.216535814,"Region4","holding","Retail Store","October",1,3,1,4,16582,1424325,167,1895
215341.188223101,"Region4","holding","Retail Store","November",2,8,0,0,15133,1819383,184,1234
335344.398533925,"Region4","holding","Kirana Store","January",2,14,0,3,12421,1814649,165,1220
233956.340025179,"Region4","holding","Kirana Store","February",2,13,1,0,13978,1513786,107,1344
346388.321509585,"Region4","holding","Kirana Store","March",2,7,0,0,11796,1940225,185,1409
367929.070373066,"Region4","holding","Kirana Store","April",1,6,0,0,17294,1511589,113,1320
162848.63546025,"Region4","holding","Kirana Store","May",1,7,0,1,18397,1979290,121,1066
110688.105947338,"Region4","holding","Kirana Store","June",1,7,0,2,12535,1061658,129,1031
281952.616898343,"Region4","holding","Kirana Store","July",2,12,1,0,11804,1086420,108,1881
271539.973746985,"Region4","holding","Kirana Store","August",1,6,0,0,12360,1980163,115,1216
129000.768903643,"Region4","holding","Kirana Store","September",1,5,0,3,11330,1312160,121,1576
381178.286462091,"Region4","holding","Kirana Store","October",1,4,0,0,16154,1773306,151,1439
184472.686890513,"Region4","holding","Kirana Store","November",0,0,1,0,17188,1459040,132,1357
335825.697262771,"Region4","holding","Hotels","January",2,7,1,5,15197,1658213,184,1870
243650.940177031,"Region4","holding","Hotels","February",0,0,1,0,17595,1800416,181,1809
285775.933251716,"Region4","holding","Hotels","March",1,6,1,4,13383,1384579,200,1598
299685.67781616,"Region4","holding","Hotels","April",1,3,0,0,14080,1285305,119,1057
173654.203792103,"Region4","holding","Hotels","May",1,4,0,1,19175,1049358,122,1281
196028.421446681,"Region4","holding","Hotels","June",0,0,1,2,13115,1935614,185,1063
215523.585770279,"Region4","holding","Hotels","July",1,7,0,0,13677,1694951,169,1849
130486.39271874,"Region4","holding","Hotels","August",0,0,0,0,12927,1793059,108,1741
265249.620913528,"Region4","holding","Hotels","September",1,5,0,0,14553,1995806,174,1033
189739.59160503,"Region4","holding","Hotels","October",0,0,0,2,10095,1481394,131,1615
163277.562730946,"Region4","holding","Hotels","November",1,6,0,5,13990,1788792,146,1106
275182.777643204,"Region4","holding","Restaurants","January",1,7,0,0,15134,1153216,101,1573
250658.809486777,"Region4","holding","Restaurants","February",1,6,0,4,10438,1262692,190,1964
227983.455755748,"Region4","holding","Restaurants","March",2,7,0,5,16113,1266704,109,1479
133178.371959366,"Region4","holding","Restaurants","April",1,7,0,2,18762,1219611,144,1277
351948.730018921,"Region4","holding","Restaurants","May",1,4,0,0,18402,1963445,173,1314
250185.579946265,"Region4","holding","Restaurants","June",1,6,0,0,17226,1958005,170,1177
180892.630969174,"Region4","holding","Restaurants","July",1,7,1,2,13908,1055770,109,1151
198218.7429443,"Region4","holding","Restaurants","August",1,4,0,5,12743,1230305,111,1095
175120.981736109,"Region4","holding","Restaurants","September",1,3,0,2,14966,1401686,147,1589
262913.46331127,"Region4","holding","Restaurants","October",1,4,0,0,10758,1538628,114,1303
290297.722117975,"Region4","holding","Restaurants","November",1,5,1,0,18732,1787196,111,1689
275286.184344441,"Region4","holding","Airline","January",0,0,0,5,10557,1807791,112,1688
101028.203591704,"Region4","holding","Airline","February",1,6,1,0,15182,1744937,151,1188
276589.049003087,"Region4","holding","Airline","March",1,7,0,0,14738,1081937,144,1738
364018.155867234,"Region4","holding","Airline","April",0,0,0,2,17319,1036614,199,1324
107645.105803385,"Region4","holding","Airline","May",1,6,0,1,16056,1197014,191,1414
270696.685207076,"Region4","holding","Airline","June",1,8,0,0,10862,1758785,191,1588
270184.31336619,"Region4","holding","Airline","July",1,4,0,2,14365,1478666,157,1722
291051.984159276,"Region4","holding","Airline","August",0,0,1,0,14076,1090002,184,1896
381614.005728625,"Region4","holding","Airline","September",2,6,0,3,15044,1513198,158,1272
331006.889021955,"Region4","holding","Airline","October",1,3,0,4,10506,1042579,138,1309
158249.62342158,"Region4","holding","Airline","November",2,12,0,3,12419,1749393,184,1378
221806.729678065,"Region4","holding","Hardware Store","January",2,11,0,0,14939,1521528,126,1159
167107.180110179,"Region4","holding","Hardware Store","February",0,0,1,3,18189,1900292,112,1021
223036.281601526,"Region4","holding","Hardware Store","March",0,0,0,3,14606,1471748,131,1792
264585.447777063,"Region4","holding","Hardware Store","April",2,11,0,5,19335,1598507,120,1998
231101.363711059,"Region4","holding","Hardware Store","May",0,0,0,0,19634,1583270,167,1561
134996.074694209,"Region4","holding","Hardware Store","June",0,0,0,0,11301,1787183,146,1658
270803.55300568,"Region4","holding","Hardware Store","July",2,14,0,5,16676,1254946,171,1078
164257.964887656,"Region4","holding","Hardware Store","August",2,11,0,0,19906,1200804,167,1326
339102.013129741,"Region4","holding","Hardware Store","September",0,0,0,2,10232,1754858,117,1213
322949.717473239,"Region4","holding","Hardware Store","October",1,4,0,0,12704,1392664,174,1388
362048.656237312,"Region4","holding","Hardware Store","November",2,12,0,1,10177,1421092,164,1087
215064.780786633,"Region4","holding","Computer Store","January",1,4,0,0,18751,1566748,138,1104
142285.148752853,"Region4","holding","Computer Store","February",0,0,0,5,10819,1599734,107,1813
169979.460234754,"Region4","holding","Computer Store","March",1,6,0,1,12796,1259948,181,1342
131557.263899595,"Region4","holding","Computer Store","April",2,13,0,2,17478,1242820,102,1044
155916.397948749,"Region4","holding","Computer Store","May",2,7,0,0,14007,1785671,196,1182
179912.397568114,"Region4","holding","Computer Store","June",1,4,0,0,10502,1889344,149,1959
139176.776190288,"Region4","holding","Computer Store","July",1,5,0,4,18259,1782842,166,1289
222390.144993551,"Region4","holding","Computer Store","August",1,6,0,1,16124,1607944,187,1907
232318.001845852,"Region4","holding","Computer Store","September",1,5,1,0,18087,1035454,115,1942
330464.707082137,"Region4","holding","Computer Store","October",0,0,1,1,17283,1970828,177,1337
159277.777629904,"Region4","holding","Computer Store","November",1,7,0,5,15684,1901226,198,1565
325508.217001334,"Region4","holding","Gaming Zone","January",2,9,0,0,13279,1494675,144,1120
308657.74534177,"Region4","holding","Gaming Zone","February",0,0,0,0,15027,1998367,187,1869
309416.943066753,"Region4","holding","Gaming Zone","March",0,0,0,5,12019,1536549,176,1809
331457.678531297,"Region4","holding","Gaming Zone","April",1,5,0,4,18307,1643066,185,1374
111459.56472028,"Region4","holding","Gaming Zone","May",1,4,0,5,11771,1412928,197,1523
333590.612071566,"Region4","holding","Gaming Zone","June",1,3,0,4,16747,1608256,141,1914
316192.662785761,"Region4","holding","Gaming Zone","July",1,8,0,0,14332,1318745,192,1550
334382.937802002,"Region4","holding","Gaming Zone","August",1,6,1,1,15450,1982569,171,1575
385058.348020539,"Region4","holding","Gaming Zone","September",0,0,0,0,10297,1628216,155,1561
103819.83933039,"Region4","holding","Gaming Zone","October",1,7,0,4,19017,1676227,110,1067
218561.519053765,"Region4","holding","Gaming Zone","November",0,0,0,1,18445,1277850,147,1271
263130.61628025,"Region4","holding","Super MArket","January",0,0,0,0,17862,1938274,132,1723
267187.41718214,"Region4","holding","Super MArket","February",1,5,0,0,17857,1381140,135,1129
238830.604334362,"Region4","holding","Super MArket","March",2,14,0,0,11554,1408098,118,1639
255359.361437149,"Region4","holding","Super MArket","April",0,0,0,0,17442,1273798,108,1482
282140.454300679,"Region4","holding","Super MArket","May",2,7,1,1,10684,1518690,102,1304
344428.578554653,"Region4","holding","Super MArket","June",0,0,0,4,18105,1961621,159,1684
100924.858357757,"Region4","holding","Super MArket","July",0,0,1,0,16283,1545702,148,1141
232428.946532309,"Region4","holding","Super MArket","August",2,15,0,5,19688,1559029,126,1352
351595.082227141,"Region4","holding","Super MArket","September",2,12,1,0,14105,1937542,187,1979
231433.084444143,"Region4","holding","Super MArket","October",2,16,0,2,18956,1113029,115,1026
125402.4829017,"Region4","holding","Super MArket","November",0,0,0,1,10490,1824773,105,1173
342919.434141368,"Region4","holding","Fast Food Centre","January",1,7,0,0,16387,1824232,199,1427
135710.713174194,"Region4","holding","Fast Food Centre","February",2,15,0,0,13980,1807446,112,1444
164456.23782929,"Region4","holding","Fast Food Centre","March",1,5,0,1,18886,1111575,136,1722
298984.937788919,"Region4","holding","Fast Food Centre","April",1,4,0,5,15553,1249308,183,1351
230880.378955044,"Region4","holding","Fast Food Centre","May",1,4,0,0,17904,1678539,133,1652
313419.141527265,"Region4","holding","Fast Food Centre","June",2,7,0,0,16814,1646709,110,1705
201481.470209546,"Region4","holding","Fast Food Centre","July",0,0,0,3,13847,1963994,150,1631
256078.209239058,"Region4","holding","Fast Food Centre","August",1,3,0,0,13350,1722551,183,1376
183744.074730203,"Region4","holding","Fast Food Centre","September",1,6,0,0,16571,1532356,168,1813
311900.76849889,"Region4","holding","Fast Food Centre","October",0,0,0,0,12570,1308946,144,1049
117057.855031453,"Region4","holding","Fast Food Centre","November",1,4,0,5,15622,1825926,110,1287
